Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  157    4 0xffffff7f9568d000 0x8ffc     0x8ffc     com.apple.iokit.IONDRVSupport (598) 351B4E2D-C260-3E0E-AD4C-C215DA3E2248 <135 18 9 7 6 3>
  158    0 0xffffff7f94ac1000 0x2000     0x2000     com.apple.AGDCPluginDisplayMetrics (8.1.9) 224F44B6-9539-3B07-B7C6-7FA345B15D48 <136 9 8 7 6 3 1>
  159    1 0xffffff7f95260000 0x6ffd     0x6ffd     com.apple.driver.AppleSMBusController (1.0.18d1) B7BB13CF-C689-38C1-97A8-44BC649CBFAB <62 18 17 7 6 3>
  160    0 0xffffff7f95202000 0xb000     0xb000     com.apple.driver.AppleMCCSControl (1.17) 2E14E11B-877E-32AB-8082-58B4B0286FF8 <159 135 19 18 17 9 7 6 3 1>
  161    1 0xffffff7f94a0b000 0x2000     0x2000     com.apple.driver.AppleBacklightExpert (1.1.0) D752E161-3B3D-3648-9663-8DE0C690E9A0 <157 135 19 18 7 6 3>
  162    0 0xffffff7f94a05000 0x2ff3     0x2ff3     com.apple.driver.AppleBacklight (180.9) FDF17E26-3212-32F7-9BF8-C5F39AD32DB5 <161 157 135 18 7 6 3>
  167    0 0xffffff7f9526c000 0x1000     0x1000     com.apple.driver.AppleSMBusPCI (1.0.14d1) 39845D9A-A618-31ED-98F9-5F906ACDCD75 <18 7 6 3>
  170    2 0xffffff7f95bd7000 0xc1fec    0xc1fec    com.apple.vecLib.kext (1.2.0) 3D7AC082-55CF-3396-9163-0067C5020A8F <13 9 8 7 6 3>
  171    4 0xffffff7f9552f000 0x1e000    0x1e000    com.apple.iokit.IOAudioFamily (540.3) DDD838AD-FE64-30D3-AF69-05F2283760B0 <170 7 6 3 1>
  173    2 0xffffff7f94d2c000 0x3ffc     0x3ffc     com.apple.iokit.IOHDAFamily (540.3) 10454ED4-12D5-33BF-9C81-EC8017A6C259 <7 6 3 1>
  174    1 0xffffff7f94c0e000 0x12ff4    0x12ff4    com.apple.driver.AppleHDAController (540.3) B338D1FB-EAF8-31AE-856E-7CDC7284C492 <173 171 135 18 9 8 7 6 3 1>
  177    0 0xffffff8002cf4000 0x7ffe     0x7ffe     com.apple.driver.usb.IOUSBHostHIDDevice (1.2) B6D599FF-A040-3482-90D8-F45638467078 <77 38 36 7 6 3 1>
  178    0 0xffffff7f94a03000 0xffb      0xffb      com.apple.driver.AppleAudioClockLibs (340.8) 7B9C4524-52E0-3D58-82B7-BEBFEE723810 <9 7 6 3 1>
  181    0 0xffffff7f95394000 0x3000     0x3000     com.apple.driver.AppleUpstreamUserClient (3.6.11) 2A3DC2E9-AB65-3631-9635-04DBCCDCB810 <135 18 17 9 7 6 3 1>
  182    1 0xffffff7f9580a000 0xf000     0xf000     com.apple.kext.OSvKernDSPLib (530) 0E138D34-E204-333B-A600-DE542F3E264B <8 7 6 3>
  183    1 0xffffff7f94c3e000 0xdcff8    0xdcff8    com.apple.driver.DspFuncLib (540.3) ECCDCACD-8737-3256-AFB2-8C308356F703 <182 171 170 85 8 7 6 3 1>
  184    0 0xffffff7f94b57000 0x8fff0    0x8fff0    com.apple.driver.AppleHDA (540.3) 5DD73EA7-79F3-3F4A-AEE5-F5E02812417F <183 174 173 171 157 135 8 7 6 3 1>
  186    0 0xffffff7f959ff000 0x7ff5     0x7ff5     com.apple.filesystems.autofs (3.0) F31DF47C-FB70-3978-811D-0C760BE0F0ED <153 9 8 7 6 3 2 1>
  187    0 0xffffff7f95251000 0x1fff     0x1fff     com.apple.driver.ApplePlatformEnabler (2.7.0d0) 261587A3-ECFC-3763-9E09-12E51BDDA661 <9 7 6 3>
  188    0 0xffffff7f94b33000 0x1eff8    0x1eff8    com.apple.driver.AGPM (135) 139B3C1D-2533-30EA-AFB7-E6453C8C063F <157 136 135 128 18 8 7 6 3 1>
  189    1 0xffffff7f956de000 0x6000     0x6000     com.apple.driver.X86PlatformShim (1.0.0) E9E28B4F-5C28-39C4-815E-90AD5B9293F6 <129 128 19 9 6 3>
  190    0 0xffffff7f953a3000 0x3000     0x3000     com.apple.driver.AudioAUUC (1.70) 0F0A8259-48EF-3D1D-8616-C47521BECD56 <171 135 18 17 9 7 6 3 1>
  192    0 0xffffff8002c07000 0x1cff8    0x1cff8    com.apple.driver.usb.AppleUSBHub (1.2) DB949ADD-C3E6-304C-A761-58A392C7E3A4 <38 36 17 7 6 3 1>
  193    0 0xffffff8001dbe000 0xaff4     0xaff4     com.apple.driver.usb.realtek8153patcher (5.0.0) 8148C86D-6221-34F1-839B-727E6359E8D6 <38 7 6 3 1>
  196    0 0xffffff8001d98000 0x2ff8     0x2ff8     com.apple.driver.usb.cdc.ecm (5.0.0) 5C67C051-D8AB-325E-922F-D22C8F879CA5 <115 114 53 38 37 7 6 3 1>
