Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   38   19 0xffffff8002b24000 0x79ff4    0x79ff4    com.apple.iokit.IOUSBHostFamily (1.2) 04BC4DE6-B34C-355D-BCDD-7DFF96A1AEAF <37 36 35 27 19 17 9 8 7 6 3 1>
   39    1 0xffffff8002cff000 0x1e000    0x1e000    com.apple.iokit.IOUSBMassStorageDriver (245) 10E3EA2C-AA0C-35C5-B352-5CDD0486386C <38 33 29 18 8 7 6 3 1>
   40    1 0xffffff8001c01000 0x7ffd     0x7ffd     com.apple.driver.AppleUSBTDM (556) A37C500C-89A6-3C05-B651-D025EE1A2B8A <39 38 34 33 29 27 9 8 7 6 3 1>
   41    0 0xffffff80019bc000 0x94ffe    0x94ffe    com.apple.driver.AppleKeyStore (2) 9B7A539F-BBF5-3465-87C0-046F8E2C676A <40 27 25 24 22 21 10 9 8 7 6 3 1>
   42    0 0xffffff8001a76000 0x17ffc    0x17ffc    com.apple.driver.AppleLockdownMode (1) C27E5AB8-BC5C-3A8A-A765-F0214AD07F58 <24 9 8 7 6 3 1>
   43    0 0xffffff8001bb1000 0x8000     0x8000     com.apple.driver.AppleSSE (1.0) 29FF00BD-BC83-3BC7-A858-0232D4314103 <22 21 9 8 7 6 3 1>
   44    0 0xffffff8001f6e000 0x2ff8     0x2ff8     com.apple.Dont_Steal_Mac_OS_X (7.0.0) A2654F22-16B4-34DF-9263-F25E16FCA067 <19 10 9 8 6 3 1>
   45    2 0xffffff8001a97000 0x2ffe     0x2ffe     com.apple.kext.AppleMatch (1.0.0d1) BE634771-EC12-380F-B071-EF82AD9299A5 <8 6 3 1>
   46    3 0xffffff8002d76000 0x5fff4    0x5fff4    com.apple.security.sandbox (300.0) 1C09B5EB-62C3-371D-872F-EB81F495F695 <45 29 27 9 8 7 6 3 2 1>
   47    2 0xffffff8002d6a000 0x9ff1     0x9ff1     com.apple.security.quarantine (4) 2D5F3658-90CD-3F0B-A4B8-844636D60577 <46 45 9 8 7 6 3 2 1>
   48    0 0xffffff8001f7a000 0x90ffa    0x90ffa    com.apple.iokit.EndpointSecurity (1) 5C2263E1-ED62-3CEF-AC56-603DBBBE6D39 <47 27 9 8 7 6 3 2 1>
   49    8 0xffffff80027ad000 0x2ff8     0x2ff8     com.apple.iokit.IOReportFamily (47) 8476E632-A5DB-34EC-A637-30C25D8C1767 <8 7 6 3>
   50    2 0xffffff800236f000 0x37000    0x37000    com.apple.iokit.IOBluetoothFamily (9.0.0) 53390A64-6530-3E4C-A288-439819FBA266 <49 38 17 9 8 7 6 3 1>
   51    0 0xffffff80023ec000 0xc000     0xc000     com.apple.driver.DiskImages (493.0.0) CC22097F-E2D9-3047-B41E-77F328915A06 <29 9 8 7 6 3 1>
   52    0 0xffffff80024d3000 0xfff      0xfff      com.apple.iokit.IOKitRegistryCompatibility (1) 28005F3C-6CA4-30BD-A4A3-E8D6B936FA9B <6 3>
   53   10 0xffffff8002509000 0x17ff4    0x17ff4    com.apple.iokit.IONetworkingFamily (3.4) 689F9B98-3302-3AAB-B4AB-C6DB7121FE27 <9 8 7 6 3 1>
   54    1 0xffffff8002764000 0x5000     0x5000     com.apple.driver.mDNSOffloadUserClient (1.0.1b8) 53E09F4E-C728-3F07-8EBF-30A7FD87A436 <53 8 6 3 1>
   55    5 0xffffff8002857000 0x2dff8    0x2dff8    com.apple.iokit.IOSkywalkFamily (1.0) EE01E282-3108-3906-9021-2E0BE2E7048F <54 53 9 8 7 6 3 1>
   56    2 0xffffff8002a31000 0x31000    0x31000    com.apple.iokit.IOTimeSyncFamily (1240.15) 8D9EA672-6AAE-394F-9EEA-CDC1352BA37E <55 53 8 7 6 3 1>
   57   13 0xffffff8003ce5000 0x8a000    0x8a000    as.vit9696.Lilu (1.6.9) D5A198D2-12C0-37BC-B292-5B542CA46D48 <9 7 6 3 2 1>
   58    0 0xffffff8003d88000 0x1c6000   0x1c6000   as.vit9696.AppleALC (1.9.3) 1DAA3EF7-92AA-3F41-A87B-FE3316E4FBA1 <57 18 9 7 6 3 1>
   59    0 0xffffff8003f4e000 0xa000     0xa000     as.lvs1974.DebugEnhancer (1.1.0) F4045398-A4CF-3B44-8D17-BD85BD8574C1 <57 9 7 6 3 2 1>
   60    0 0xffffff8003ff8000 0xb000     0xb000     science.firewolf.rtsf (1.0.4) 0CB21311-6D49-3E6E-89C6-3D30AD70D296 <57 9 7 6 3 2 1>
   61    4 0xffffff8003d6f000 0x19000    0x19000    as.vit9696.VirtualSMC (1.3.4) 84598C28-7429-3F87-9318-65E2C76F7C44 <57 17 9 7 6 3 1>
   62    4 0xffffff8002842000 0xffe      0xffe      com.apple.iokit.IOSMBusFamily (1.1) 3D75C6A0-5AFF-38E5-89B6-CF5F96104E8A <7 6 3>
   63    0 0xffffff8004003000 0x18000    0x18000    ru.usrsse2.SMCBatteryManager (1.3.4) DD468700-2DDA-396B-BBDB-C08D3DF927FD <62 61 57 17 9 7 6 3 1>
   64    0 0xffffff800401b000 0x9000     0x9000     ru.usrsse2.SMCLightSensor (1.3.4) 78DB3542-7B5D-37CA-91DD-FEEA19708201 <61 57 17 9 7 6 3 2 1>
   65    0 0xffffff8004ffb000 0xa000     0xa000     as.acidanthera.BlueToolFixup (2.6.8) F79E90EC-E91C-3D93-83D1-C0C5C9206285 <57 9 7 6 3 2 1>
   66    0 0xffffff8005afd000 0xb000     0xb000     com.zxystd.IntelBTPatcher (2.5.0) 6E452EF4-4BD3-36F2-8A67-37D25247A73F <57 38 9 7 6 3 2 1>
   67    0 0xffffff8005b08000 0xa000     0xa000     org.lvs1974.driver.CpuTscSync (1.1.1) CD1A2F50-578B-3D06-B4B8-3E8C77C497DC <57 17 9 7 6 3 2 1>
